# Direction 11: 1320
# Direction 22: 1320
# Direction 33: calculated
# E: 200
# v: 0.3
vx, vy, vz, d0, d0_error, d_Dir11, d_Dir11_error, d_Dir22, d_Dir22_error, d_Dir33, d_Dir33_error, FWHM_Dir11, FWHM_Dir11_error, FWHM_Dir22, FWHM_Dir22_error, FWHM_Dir33, FWHM_Dir33_error, Peak_Height_Dir11, Peak_Height_Dir11_error, Peak_Height_Dir22, Peak_Height_Dir22_error, Peak_Height_Dir33, Peak_Height_Dir33_error, Strain_Dir11, Strain_Dir11_error, Strain_Dir22, Strain_Dir22_error, Strain_Dir33, Strain_Dir33_error, Stress_Dir11, Stress_Dir11_error, Stress_Dir22, Stress_Dir22_error, Stress_Dir33, Stress_Dir33_error
-30.00, -6.00, -10.00, 1.0000000, 0.0000000, 1.0822582, 0.0014102, 1.0822582, 0.0014102, , , 0.50, 0.61, 0.50, 0.61, , , 0.414886236191, 0.814736962318, 0.414886236191, 0.814736962318, , , 0.082258, 0.001410, 0.082258, 0.001410, -0.070507, 0.000855, 23.502339, 0.323584, 23.502339, 0.323584, 0.000000, 0.000000
-30.00, -3.00, -10.00, 1.0000000, 0.0000000, 1.0826745, 0.0013229, 1.0826745, 0.0013229, , , 0.49, 0.57, 0.49, 0.57, , , 0.446761220694, 0.834067463875, 0.446761220694, 0.834067463875, , , 0.082675, 0.001323, 0.082675, 0.001323, -0.070864, 0.000802, 23.621290, 0.303559, 23.621290, 0.303559, 0.000000, 0.000000
-30.00, 0.00, -10.00, 1.0000000, 0.0000000, 1.0830660, 0.0016396, 1.0830660, 0.0016396, , , 0.55, 0.70, 0.55, 0.70, , , 0.370866358280, 0.798118948936, 0.370866358280, 0.798118948936, , , 0.083066, 0.001640, 0.083066, 0.001640, -0.071199, 0.000994, 23.733154, 0.376222, 23.733154, 0.376222, 0.000000, 0.000000
-30.00, 3.00, -10.00, 1.0000000, 0.0000000, 1.0838445, 0.0015458, 1.0838445, 0.0015458, , , 0.52, 0.67, 0.52, 0.67, , , 0.386087805033, 0.802855849266, 0.386087805033, 0.802855849266, , , 0.083845, 0.001546, 0.083845, 0.001546, -0.071867, 0.000937, 23.955584, 0.354690, 23.955584, 0.354690, 0.000000, 0.000000
-30.00, 6.00, -10.00, 1.0000000, 0.0000000, 1.0829482, 0.0016564, 1.0829482, 0.0016564, , , 0.54, 0.71, 0.54, 0.71, , , 0.363578855991, 0.800124645233, 0.363578855991, 0.800124645233, , , 0.082948, 0.001656, 0.082948, 0.001656, -0.071098, 0.001004, 23.699488, 0.380085, 23.699488, 0.380085, 0.000000, 0.000000
-30.00, -6.00, 0.00, 1.0000000, 0.0000000, 1.0822225, 0.0014473, 1.0822225, 0.0014473, , , 0.51, 0.63, 0.51, 0.63, , , 0.410308331251, 0.813944578171, 0.410308331251, 0.813944578171, , , 0.082222, 0.001447, 0.082222, 0.001447, -0.070476, 0.000877, 23.492134, 0.332090, 23.492134, 0.332090, 0.000000, 0.000000
-30.00, -3.00, 0.00, 1.0000000, 0.0000000, 1.0825316, 0.0014364, 1.0825316, 0.0014364, , , 0.52, 0.62, 0.52, 0.62, , , 0.424842625856, 0.822773754597, 0.424842625856, 0.822773754597, , , 0.082532, 0.001436, 0.082532, 0.001436, -0.070741, 0.000871, 23.580465, 0.329596, 23.580465, 0.329596, 0.000000, 0.000000
-30.00, 0.00, 0.00, 1.0000000, 0.0000000, 1.0830749, 0.0015739, 1.0830749, 0.0015739, , , 0.53, 0.68, 0.53, 0.68, , , 0.383824378252, 0.811930835247, 0.383824378252, 0.811930835247, , , 0.083075, 0.001574, 0.083075, 0.001574, -0.071207, 0.000954, 23.735679, 0.361136, 23.735679, 0.361136, 0.000000, 0.000000
-30.00, 3.00, 0.00, 1.0000000, 0.0000000, 1.0837020, 0.0016499, 1.0837020, 0.0016499, , , 0.54, 0.71, 0.54, 0.71, , , 0.368912816048, 0.808560013771, 0.368912816048, 0.808560013771, , , 0.083702, 0.001650, 0.083702, 0.001650, -0.071745, 0.001000, 23.914848, 0.378577, 23.914848, 0.378577, 0.000000, 0.000000
-30.00, 6.00, 0.00, 1.0000000, 0.0000000, 1.0831499, 0.0015315, 1.0831499, 0.0015315, , , 0.49, 0.66, 0.49, 0.66, , , 0.378399819136, 0.824283063412, 0.378399819136, 0.824283063412, , , 0.083150, 0.001532, 0.083150, 0.001532, -0.071271, 0.000928, 23.757116, 0.351420, 23.757116, 0.351420, 0.000000, 0.000000
