# IPTS number = 22731
# Run = 1086
# Scan title = Si422_Fe_pin_scan_2th
# Sample name
# Item number
# HKL phase
# Strain direction =  
# Monochromator setting
# Calibration file
# Hidra project file
# Manual vs auto reduction
# DOR = -0.0025 +/- 0
# DOX = -6.6898 +/- 0
# DOY = -243 +/- 0
# Filename = b'../nexus/HB2B_1086.nxs.h5'
# ISR:X:Gap = 3 +/- 0
# ISR:Y:Gap = 15 +/- 0
# SampleDescription = b'N/A'
# SampleId = -1 +/- 0
# SampleName = b'No sample'
# StrainDirection = b' '
# chi = 0 +/- 0
# chiSetpoint = 0 +/- 0
# duration = 247.9 +/- 0
# end_time = b'2019.0'
# experiment_identifier = b'IPTS-22731'
# file_notes = b'(unset)'
# hklPhase = b'Ni311'
# mb220 = 200 +/- 0
# mb511 = 200 +/- 0
# mtilt = -0.37904 +/- 0
# omega = 0 +/- 0
# omegaSetpoint = 0 +/- 0
# phi = 0 +/- 0
# phiSetpoint = 0 +/- 0
# run_number = b'1086'
# run_title = b'Si422_Fe_pin_scan_2th'
# start_time = b'2019.0'
# sx = 0.00073674 +/- 0
# sxSetpoint = 0 +/- 0
# sy = 0.00032034 +/- 0
# sySetpoint = 0 +/- 0
# szSetpoint = 3.77 +/- 0
sub-run,2theta,2thetaSetpoint,ISD,mrot,sub-run duration,sz,vx,vy,vz,peak0_dspacing_center,peak0_strain,peak0_Center,peak0_Height,peak0_FWHM,peak0_Mixing,peak0_A0,peak0_A1,peak0_Intensity,peak0_dspacing_center_error,peak0_strain_error,peak0_Center_error,peak0_Height_error,peak0_FWHM_error,peak0_Mixing_error,peak0_A0_error,peak0_A1_error,peak0_Intensity_error,peak0_chisq
1,81.9953,82.0,110.021,-19.2301,20.006752807,3.7699,nan,nan,nan,1.08188933341,81889.3334145,90.1628,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,inf
2,84.0,84.0,110.021,-19.2301,20.004923216,3.7699,nan,nan,nan,1.082950023,82950.0230001,90.0503,407.811,0.485427,0.57633,110.193,-0.874819,244.054,4.92089388017e-05,49.2089388017,0.00521158,40.5588,0.0158785,0.163095,208.461,2.31986,17.453,0.125986
3,86.0003,86.0,110.021,-19.2301,20.005412285,3.7699,nan,nan,nan,1.08313471152,83134.711519,90.0307,391.416,0.49163,0.705335,85.9078,-0.586273,226.335,4.62888477366e-05,46.2888477366,0.00489981,37.2932,0.0143692,0.166423,173.3,1.91963,15.5334,0.134751
4,88.0003,88.0,110.021,-19.2301,20.005858903,3.7699,nan,nan,nan,1.08320905226,83209.0522611,90.0229,358.532,0.486362,0.686012,-43.4932,0.852619,206.52,4.65483708068e-05,46.5483708068,0.00492627,34.4907,0.0144857,0.166676,163.589,1.81085,14.2993,0.135854
5,90.0,90.0,110.021,-19.2301,20.006892394,3.7699,nan,nan,nan,1.08328812063,83288.1206312,90.0145,360.221,0.461016,0.597572,39.593,-0.082687,203.122,4.44099684384e-05,44.4099684384,0.00469893,32.464,0.0142454,0.150401,158.235,1.74893,12.949,0.127634
6,92.0,92.0,110.021,-19.2301,20.00584219,3.7699,nan,nan,nan,1.0832472611,83247.2610989,90.0188,365.973,0.4718,0.612825,-4.92906,0.421125,210.006,4.52488030885e-05,45.2488030885,0.00478823,33.4814,0.0143959,0.153551,162.431,1.79407,13.6752,0.122224
7,94.0,94.0,110.021,-19.2301,20.006346726,3.7699,nan,nan,nan,1.08314819755,83148.197548,90.0293,361.15,0.484038,0.709575,98.7282,-0.703029,205.299,4.75600913488e-05,47.5600913488,0.00503419,35.4337,0.0147086,0.171946,164.007,1.81183,14.4639,0.138516
8,96.0,96.0,110.021,-19.2301,20.006658252,3.7699,nan,nan,nan,1.08312645238,83126.4523816,90.0316,354.336,0.483,0.586709,72.0747,-0.418498,210.177,4.92800587262e-05,49.2800587262,0.00521656,35.4189,0.0158983,0.165193,178.159,1.96553,15.06,0.144711
9,98.0003,98.0,110.021,-19.2301,20.006529811,3.7699,nan,nan,nan,1.08296814577,82968.1457724,90.0484,414.04,0.48804,0.402406,3.92096,0.28319,266.413,5.14746373008e-05,51.4746373008,0.00545126,43.8572,0.0175801,0.154822,279.967,3.06364,20.8107,0.133184
10,100.0,100.0,110.021,-19.2301,20.007898667,3.7699,nan,nan,nan,1.08188933341,81889.3334145,90.1628,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,inf
